#{"t_start": 1703840839.9341729, "env_id": "None"}
r,l,t
0.995,8,4.883094
-0.006,6,4.890405
0.995,8,4.89951
-0.006,6,4.906693
-0.006,6,4.913992
-0.006,6,4.921178
0.995,8,4.93039
-0.006,6,4.937536
0.995,8,4.946802
-0.006,6,4.954096
-0.006,6,4.96126
0.995,8,4.970232
-0.006,6,4.97741
-0.006,6,4.984491
-0.006,6,4.99153
-0.006,6,4.99862
0.995,8,5.007584
0.995,8,5.016868
-0.006,6,5.023852
0.995,8,5.033332
-0.006,6,5.040481
0.995,8,5.050292
-0.006,6,5.058609
-0.006,6,5.066272
0.995,8,5.07643
-0.006,6,5.084147
-0.006,6,5.092904
-0.006,6,5.100359
-0.006,6,5.108531
-0.006,6,5.116073
0.995,8,5.126131
0.995,8,5.135914
0.995,8,5.149574
0.995,8,5.159521
-0.006,6,5.167225
0.995,8,5.177039
-0.006,6,5.184702
0.995,8,5.194783
0.995,8,5.204311
0.995,8,5.214283
0.995,8,5.224095
0.995,8,5.233724
-0.006,6,5.241605
-0.006,6,5.249345
-0.006,6,5.257283
-0.006,6,5.264981
0.995,8,5.274569
0.995,8,5.284102
0.995,8,5.293406
-0.006,6,5.300604
-0.006,6,5.307803
-0.006,6,5.315098
0.995,8,5.324208
0.995,8,5.3333
-0.006,6,5.340472
-0.006,6,5.347655
-0.006,6,5.354999
-0.006,6,5.362018
-0.006,6,5.369038
0.995,8,5.377853
0.995,8,5.38678
-0.006,6,5.39386
-0.006,6,5.400854
-0.006,6,5.407854
-0.006,6,5.415026
-0.006,6,5.422051
-0.006,6,5.429297
-0.006,6,5.436323
0.995,8,5.445452
0.995,8,5.454344
-0.006,6,5.461291
-0.006,6,5.468315
0.995,8,5.477167
-0.006,6,5.484034
-0.006,6,5.491013
-0.006,6,5.498094
-0.006,6,5.504935
0.995,8,5.513765
0.995,8,5.522724
-0.006,6,5.530013
-0.006,6,5.536949
0.995,8,5.545804
-0.006,6,5.553508
-0.006,6,5.56177
-0.006,6,5.569435
0.995,8,5.579662
-0.006,6,5.586992
-0.006,6,5.597161
-0.006,6,5.604366
0.995,8,5.614135
-0.006,6,5.621594
-0.006,6,5.629472
-0.006,6,5.638086
0.995,8,5.652776
-0.006,6,5.660963
-0.006,6,5.668872
-0.006,6,5.677111
-0.006,6,5.684612
0.995,8,5.694267
-0.006,6,5.71775
-0.006,6,5.726842
-0.006,6,5.73536
0.995,8,5.745672
0.995,8,5.755315
0.995,8,5.765168
0.995,8,5.774907
-0.006,6,5.782414
0.995,8,5.791922
-0.006,6,5.799331
0.995,8,5.809125
-0.006,6,5.816679
0.995,8,5.826164
0.995,8,5.835638
-0.006,6,5.843118
-0.006,6,5.850606
0.995,8,5.860019
-0.006,6,5.867338
-0.006,6,5.874637
-0.006,6,5.881974
0.995,8,5.891302
-0.006,6,5.898581
0.995,8,5.907812
-0.006,6,5.915179
-0.006,6,5.922464
-0.006,6,5.929778
-0.006,6,5.938311
-0.006,6,5.945853
0.995,8,5.955109
0.995,8,5.964201
-0.006,6,5.971329
0.995,8,5.980482
0.995,8,5.990903
0.995,8,6.00008
0.995,8,6.009178
-0.006,6,6.016502
-0.006,6,6.023633
-0.006,6,6.030979
-0.006,6,6.038217
-0.006,6,6.046864
-0.006,6,6.054911
-0.006,6,6.062758
-0.006,6,6.070484
0.995,8,6.080186
-0.006,6,6.087767
0.995,8,6.098019
-0.006,6,6.105501
-0.006,6,6.113573
-0.006,6,6.121086
0.995,8,6.131196
0.995,8,6.144147
-0.006,6,6.152539
-0.006,6,6.160516
0.995,8,6.170784
-0.006,6,6.179978
-0.006,6,6.189249
-0.006,6,6.198574
0.995,8,6.210439
-0.006,6,6.21871
-0.006,6,6.22696
-0.006,6,6.234511
-0.006,6,6.242248
0.995,8,6.251606
0.995,8,6.261432
-0.006,6,6.268958
-0.006,6,6.276657
0.995,8,6.286295
-0.006,6,6.293908
-0.006,6,6.301375
-0.006,6,6.30883
-0.006,6,6.316296
-0.006,6,6.323751
0.995,8,6.333181
0.995,8,6.342585
-0.006,6,6.350047
-0.006,6,6.357396
-0.006,6,6.364769
-0.006,6,6.371859
-0.006,6,6.379012
-0.006,6,6.386325
0.995,8,6.395468
-0.006,6,6.402689
-0.006,6,6.409942
0.995,8,6.418965
0.995,8,6.428226
-0.006,6,6.435348
-0.006,6,6.442592
-0.006,6,6.449718
0.995,8,6.458806
0.995,8,6.469033
0.995,8,6.478031
0.995,8,6.486902
-0.006,6,6.493941
0.995,8,6.50296
0.995,8,6.511931
-0.006,6,6.518941
0.995,8,6.52794
-0.006,6,6.535231
0.995,8,6.544133
0.995,8,6.553617
-0.006,6,6.561518
-0.006,6,6.569445
0.995,8,6.579534
0.995,8,6.589033
-0.006,6,6.596962
-0.006,6,6.604461
0.995,8,7.524351
-0.006,6,7.531777
0.995,8,7.541225
-0.006,6,7.548808
0.995,8,7.559198
0.995,8,7.568843
0.995,8,7.579841
-0.006,6,7.588195
0.995,8,7.598785
-0.006,6,7.606724
0.995,8,7.617468
-0.006,6,7.626046
-0.006,6,7.634123
0.995,8,7.646391
0.995,8,7.660118
-0.006,6,7.668636
-0.006,6,7.677175
-0.006,6,7.684761
0.995,8,7.69542
0.995,8,7.705719
0.995,8,7.717156
0.995,8,7.730267
-0.006,6,7.738424
0.995,8,7.751271
-0.006,6,7.760842
-0.006,6,7.783823
0.995,8,7.795384
-0.006,6,7.804116
-0.006,6,7.813057
-0.006,6,7.820908
0.995,8,7.831425
0.995,8,7.841899
0.995,8,7.852102
0.995,8,7.862482
0.995,8,7.872508
0.995,8,7.882794
-0.006,6,7.891366
-0.006,6,7.8991
0.995,8,7.909436
-0.006,6,7.917565
0.995,8,7.927954
-0.006,6,7.936002
0.995,8,7.946245
-0.006,6,7.953687
0.995,8,7.963987
0.995,8,7.974138
-0.006,6,7.982407
0.995,8,7.992527
-0.006,6,7.999964
0.995,8,8.009808
0.995,8,8.019812
0.995,8,8.029301
-0.006,6,8.036815
0.995,8,8.046339
0.995,8,8.055826
0.995,8,8.065545
0.995,8,8.075306
0.995,8,8.08498
0.995,8,8.09493
0.995,8,8.104767
-0.006,6,8.112447
0.995,8,8.121973
0.995,8,8.131971
-0.006,6,8.139704
-0.006,6,8.149504
0.995,8,8.159435
0.995,8,8.169681
0.995,8,8.179579
-0.006,6,8.187193
0.995,8,8.197185
-0.006,6,8.204801
-0.006,6,8.212717
0.995,8,8.222663
-0.006,6,8.230481
-0.006,6,8.237951
0.995,8,8.247651
-0.006,6,8.255172
-0.006,6,8.26303
0.995,8,8.272834
0.995,8,8.282609
-0.006,6,8.290708
-0.006,6,8.298337
0.995,8,8.308088
0.995,8,8.317814
0.995,8,8.327522
-0.006,6,8.335002
0.995,8,8.344748
-0.006,6,8.352206
0.995,8,8.362076
-0.006,6,8.370086
-0.006,6,8.378424
0.995,8,8.387992
0.995,8,8.398446
0.995,8,8.408251
0.995,8,8.417987
-0.006,6,8.425889
-0.006,6,8.433497
-0.006,6,8.441155
0.995,8,8.45064
0.995,8,8.460302
-0.006,6,8.468168
0.995,8,8.477797
0.995,8,8.487392
0.995,8,8.497608
0.995,8,8.507469
-0.006,6,8.51529
-0.006,6,8.523136
-0.006,6,8.530779
0.995,8,8.54048
0.995,8,8.550331
-0.006,6,8.55815
-0.006,6,8.565868
-0.006,6,8.573874
0.995,8,8.583591
0.995,8,8.594199
0.995,8,8.603593
-0.006,6,8.61134
0.995,8,8.62086
0.995,8,8.630415
0.995,8,8.640307
-0.006,6,8.651856
-0.006,6,8.661445
0.995,8,8.672584
-0.006,6,8.681136
0.995,8,8.691208
0.995,8,8.701093
0.995,8,8.711079
0.995,8,8.720672
-0.006,6,8.728469
0.995,8,8.738261
0.995,8,8.748076
-0.006,6,8.755799
-0.006,6,8.763635
0.995,8,8.773196
-0.006,6,8.78088
-0.006,6,8.788561
-0.006,6,8.795954
-0.006,6,8.823889
-0.006,6,8.833143
0.995,8,8.843941
0.995,8,8.853973
-0.006,6,8.861416
-0.006,6,8.868623
0.995,8,8.877727
-0.006,6,8.884927
0.995,8,8.894293
0.995,8,8.903431
-0.006,6,8.910603
0.995,8,8.919678
-0.006,6,8.926862
-0.006,6,8.934091
0.995,8,8.943213
0.995,8,8.952298
0.995,8,8.961212
0.995,8,8.970175
0.995,8,8.978961
-0.006,6,8.985952
-0.006,6,8.992887
0.995,8,9.001928
0.995,8,9.010653
-0.006,6,9.017632
0.995,8,9.026426
0.995,8,9.035253
-0.006,6,9.042105
0.995,8,9.053482
0.995,8,9.062494
0.995,8,9.074329
-0.006,6,9.082097
-0.006,6,9.089744
0.995,8,9.099707
0.995,8,9.112005
0.995,8,9.122197
0.995,8,9.131897
-0.006,6,9.14169
-0.006,6,9.15294
-0.006,6,9.161474
-0.006,6,9.169588
0.995,8,9.179245
0.995,8,9.189405
-0.006,6,9.19747
0.995,8,9.207296
0.995,8,9.21689
0.995,8,9.226891
-0.006,6,9.235077
0.995,8,9.244898
0.995,8,9.254411
-0.006,6,9.262349
0.995,8,9.271874
0.995,8,9.281599
0.995,8,9.291824
-0.006,6,9.299243
0.995,8,9.30853
0.995,8,9.317839
0.995,8,9.327125
-0.006,6,9.334453
-0.006,6,9.341765
-0.006,6,9.349108
0.995,8,9.358324
-0.006,6,9.366832
0.995,8,9.376115
-0.006,6,9.38336
0.995,8,9.392498
-0.006,6,9.399657
-0.006,6,9.406834
0.995,8,9.415909
0.995,8,9.424949
-0.006,6,9.432193
0.995,8,9.441346
0.995,8,9.450396
-0.006,6,9.457535
0.995,8,9.466591
