#{"t_start": 1705144753.2988002, "env_id": "None"}
r,l,t
0.9982,21,11.689604
-0.002,20,11.702664
-0.002,20,11.715568
-0.002,20,11.728426
0.9985,21,11.742048
-0.002,20,11.755774
0.9984,21,11.76953
0.9984,21,11.783662
-0.002,20,11.797312
-0.002,20,11.810526
-0.002,20,11.823869
-0.002,20,11.837243
0.9985,21,11.851117
0.9985,21,11.864994
-0.002,20,11.879347
-0.002,20,11.892614
0.9981,21,11.906168
-0.002,20,11.919205
0.9983,21,11.932477
-0.002,20,11.945813
-0.002,20,11.95978
-0.002,20,11.973555
0.9984,21,11.987693
0.9981,21,12.024028
0.9985,21,12.040598
-0.002,20,12.056213
0.9985,21,12.069916
0.9984,21,12.084678
-0.002,20,12.09848
-0.002,20,12.111937
0.9981,21,12.125564
0.9985,21,12.139002
0.9983,21,12.153693
-0.002,20,12.167549
0.9985,21,12.181889
0.9984,21,12.195796
-0.002,20,12.209501
-0.002,20,12.223152
-0.002,20,12.23638
0.9983,21,12.249949
0.9983,21,12.264241
0.9983,21,12.278331
0.9984,21,12.292341
-0.002,20,12.306667
-0.002,20,12.321059
-0.002,20,12.334555
-0.002,20,12.347893
-0.002,20,12.361662
-0.002,20,12.375551
0.9983,21,12.389419
0.9981,21,12.404658
-0.002,20,12.419203
0.9984,21,12.433238
0.9983,21,12.446842
-0.002,20,12.460625
-0.002,20,12.474934
0.9982,21,12.488972
0.9984,21,12.502897
-0.002,20,12.516653
0.9982,21,12.530134
-0.002,20,12.547726
0.9981,21,12.562922
0.9985,21,12.578331
0.9985,21,12.593566
-0.002,20,12.607988
-0.002,20,12.622592
0.9985,21,12.638127
-0.002,20,12.652213
0.9985,21,12.666421
-0.002,20,12.680458
0.9985,21,12.694602
0.9981,21,12.70865
0.9985,21,12.722879
-0.002,20,12.736993
-0.002,20,12.750192
0.9981,21,12.764259
-0.002,20,12.778796
-0.002,20,12.792957
-0.002,20,12.807051
0.9983,21,12.821236
0.9984,21,12.835498
-0.002,20,12.84965
-0.002,20,12.863247
-0.002,20,12.876927
-0.002,20,12.891188
0.9981,21,12.925377
-0.002,20,12.941176
